match_id,date,result,scheme
111925,2018-08-05,lose,4 - 3 - 3
113392,2018-08-11,draw,4 - 2 - 3 - 1
115003,2018-08-18,draw,4 - 4 - 2
116890,2018-08-22,lose,
116318,2018-08-25,win,4 - 4 - 1 - 1
119354,2018-09-01,lose,4 - 4 - 1 - 1
124494,2018-09-15,draw,
126177,2018-09-18,win,4 - 1 - 4 - 1
127853,2018-09-22,lose,4 - 3 - 3
131613,2018-09-29,draw,4 - 3 - 3
133732,2018-10-02,win,4 - 2 - 3 - 1
134985,2018-10-06,win,4 - 1 - 4 - 1
140583,2018-10-20,lose,4 - 1 - 4 - 1
142769,2018-10-23,draw,
143779,2018-10-27,win,
147216,2018-11-03,draw,
150143,2018-11-10,draw,4 - 1 - 4 - 1
154738,2018-11-24,draw,4 - 1 - 4 - 1
156463,2018-11-28,win,4 - 3 - 3
157000,2018-12-01,draw,4 - 3 - 3
159339,2018-12-08,win,4 - 3 - 3
161292,2018-12-15,draw,4 - 3 - 3
162911,2018-12-22,win,4 - 3 - 3
163749,2018-12-26,lose,4 - 3 - 3
164047,2018-12-29,draw,4 - 3 - 3
164422,2019-01-01,lose,4 - 3 - 3
166108,2019-01-12,lose,4 - 3 - 3
167751,2019-01-19,win,3 - 5 - 2
169793,2019-01-26,lose,3 - 5 - 2
171892,2019-02-02,lose,3 - 5 - 2
174233,2019-02-09,lose,4 - 1 - 2 - 1 - 2
175865,2019-02-13,draw,4 - 1 - 2 - 1 - 2
176414,2019-02-16,draw,4 - 1 - 2 - 1 - 2
179007,2019-02-23,draw,4 - 3 - 3
181587,2019-03-02,win,4 - 5 - 1
184190,2019-03-09,draw,4 - 3 - 3
186120,2019-03-13,draw,4 - 3 - 3
186985,2019-03-16,draw,4 - 4 - 2
192405,2019-03-30,draw,4 - 4 - 1 - 1
195752,2019-04-06,win,4 - 4 - 1 - 1
197806,2019-04-09,lose,4 - 2 - 3 - 1
199005,2019-04-13,draw,4 - 4 - 1 - 1
201938,2019-04-19,lose,5 - 3 - 2
203861,2019-04-22,draw,5 - 3 - 2
205430,2019-04-27,draw,3 - 4 - 3
209578,2019-05-05,draw,4 - 3 - 3
227459,2019-08-03,lose,4 - 1 - 2 - 1 - 2
227467,2019-08-10,lose,4 - 1 - 2 - 1 - 2
227486,2019-08-17,draw,4 - 1 - 2 - 1 - 2
227498,2019-08-21,lose,4 - 1 - 2 - 1 - 2
227511,2019-08-24,lose,3 - 5 - 1 - 1
227513,2019-08-31,lose,4 - 5 - 1
227535,2019-09-14,lose,3 - 5 - 1 - 1
227538,2019-09-21,draw,3 - 5 - 1 - 1
227559,2019-09-27,lose,4 - 1 - 2 - 1 - 2
227567,2019-10-01,lose,4 - 1 - 2 - 1 - 2
242243,2019-10-05,win,4 - 1 - 2 - 1 - 2
242255,2019-10-19,win,4 - 3 - 1 - 2
242260,2019-10-22,lose,4 - 3 - 1 - 2
242274,2019-10-26,lose,4 - 1 - 2 - 1 - 2
242291,2019-11-04,lose,5 - 3 - 2
242293,2019-11-09,win,4 - 3 - 3
242314,2019-11-23,win,4 - 3 - 3
242317,2019-11-26,lose,4 - 5 - 1
242338,2019-11-30,lose,4 - 3 - 3
242345,2019-12-07,lose,4 - 3 - 3
242358,2019-12-10,win,4 - 3 - 3
242374,2019-12-14,draw,4 - 3 - 3
242383,2019-12-20,lose,4 - 3 - 3
242399,2019-12-26,win,4 - 3 - 3
242404,2019-12-29,lose,4 - 3 - 3
